path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
common_voice_ar_24028954.mp3	ثُمَّ قَبَضْنَاهُ إِلَيْنَا قَبْضًا يَسِيرًا	2	0				ar	
common_voice_ar_24028955.mp3	يَأْتُوكَ بِكُلِّ سَحَّارٍ عَلِيمٍ	2	0				ar	
common_voice_ar_24028957.mp3	هذه مسألة وقت.	2	0				ar	
common_voice_ar_24028958.mp3	يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا لَقِيتُمُ الَّذِينَ كَفَرُوا زَحْفًا فَلَا تُوَلُّوهُمُ الْأَدْبَارَ	2	0				ar	
common_voice_ar_24029087.mp3	وجاءت سكرة الموت بالحق ذلك ما كنت منه تحيد	2	1	twenties			ar	
common_voice_ar_24029088.mp3	وهذا ذكر مبارك أنزلناه أفأنتم له منكرون	2	0	twenties			ar	
common_voice_ar_24029090.mp3	هذا فليذوقوه حميم وغساق	2	0	twenties			ar	
common_voice_ar_24029091.mp3	ذهب إبني إلى لندن، أين ولدت.	2	0	twenties			ar	
common_voice_ar_24029127.mp3	وَالْمَغْرُورُ فِيهَا مَذْعُورٌ	2	0	twenties			ar	
common_voice_ar_24029129.mp3	الذي يؤتي ماله يتزكى	2	0	twenties			ar	
common_voice_ar_24029130.mp3	كان منزل منّاد مكتضّا بالنّاس.	2	1	twenties			ar	
common_voice_ar_24029131.mp3	فَإِذَا تَأَمَّلْتهَا لَمْ تَجِدْ خَامِسًا يَقْتَرِنُ بِهَا وَرَهْبَةُ السُّلْطَانِ أَبْلَغُهَا	2	0	twenties			ar	
common_voice_ar_24029147.mp3	وإن يونس لمن المرسلين	2	0	twenties			ar	
common_voice_ar_24029148.mp3	أَمْ يَقُولُونَ شَاعِرٌ نَتَرَبَّصُ بِهِ رَيْبَ الْمَنُونِ	2	0	twenties			ar	
common_voice_ar_24029150.mp3	ما الذي تصحك عليه ؟	3	0	twenties			ar	
common_voice_ar_24029151.mp3	أعطني برتقالة.	3	0	twenties			ar	
common_voice_ar_24029170.mp3	إن عدنا الاصدقاء بالكلام نجدهم وفرون، و إن كنا بحاجة إليهم لا نجد احدا!	2	0	twenties			ar	
